
28 Feb,33.2,25.6,25.20,22.60,0.00,9.8,4.9,1076.00,1014.10,1008.50,0

02 Mar,33.9,26.1,23.80,22.20,0.00,7.6,3.6,1137.00,1013.90,1008.70,0

04 Mar,34.4,24.9,25.50,22.10,26.40,7.2,4.0,1039.00,1013.00,1007.80,0

07 Mar,33.2,26.2,26.10,23.00,0.00,7.6,4.0,914.00,1014.80,1009.50,0

09 Mar,35.6,26.4,25.30,21.30,0.00,7.2,4.0,1097.00,1014.70,1009.80,0

11 Mar,34.0,22.1,26.20,21.30,58.60,12.5,7.2,1225.00,1015.50,1011.30,0

12 Mar,35.1,24.2,25.40,20.20,1.40,7.6,4.5,1199.00,1015.30,1011.00,0

13 Mar,35.1,26.2,26.50,23.20,0.00,8.5,3.6,1067.00,1015.80,1010.70,0

16 Mar,33.3,23.8,25.40,22.00,0.00,8.9,4.5,1076.00,1015.80,1011.70,0

17 Mar,34.4,25.9,24.30,17.90,0.00,8.0,4.0,1071.00,1015.70,1011.10,0

18 Mar,35.2,24.1,24.00,16.90,0.00,9.8,4.5,1042.00,1015.70,1009.70,0

19 Mar,33.9,25.3,24.20,21.60,0.00,8.5,4.5,1079.00,1014.40,1008.90,0

20 Mar,33.8,26.7,24.90,22.60,0.00,8.0,4.0,1069.00,1013.70,1008.60,0

20 Mar,35.4,24.3,26.20,22.50,47.60,8.0,4.9,1069.00,1014.90,1008.50,0

22 Mar,35.3,24.1,25.80,23.20,0.00,7.6,4.0,1060.00,1014.60,1009.10,0

24 Mar,34.5,26.4,26.30,23.20,0.00,12.5,4.0,998.00,1013.10,1008.70,0

25 Mar,33.6,25.3,26.50,23.50,21.40,7.6,3.6,1025.00,1013.90,1009.40,0

25 Mar,33.8,25.3,26.50,23.50,21.40,10.3,4.9,1113.00,1015.00,1009.40,0

25 Mar,34.8,25.3,26.50,21.60,21.40,10.3,4.9,1113.00,1015.80,1009.40,0

28 Mar,33.6,24.2,26.20,21.40,0.60,9.4,4.5,993.00,1015.40,1010.80,0

29 Mar,34.0,24.3,26.10,22.40,0.00,5.8,3.1,944.00,1013.70,1008.20,0

30 Mar,33.1,24.1,26.40,21.90,0.00,8.9,5.4,896.00,1015.50,1008.40,0

31 Mar,32.6,26.1,26.30,24.40,0.00,5.4,2.7,900.00,1015.50,1009.80,0

31 Mar,32.6,24.5,26.50,23.20,19.20,8.0,4.5,1025.00,1015.90,1009.80,0

03 Apr,32.2,22.8,25.60,21.80,18.40,8.5,4.0,654.00,1016.20,1009.90,0

04 Apr,34.8,24.3,26.30,22.30,0.00,7.6,3.1,1146.00,1014.90,1009.90,0

05 Apr,34.3,25.0,26.00,22.80,0.60,12.5,5.8,1141.00,1015.10,1010.40,0

06 Apr,33.6,25.0,24.70,21.90,0.00,7.6,4.5,1088.00,1015.20,1009.80,0

07 Apr,34.9,24.7,25.60,22.30,0.00,6.7,3.6,1074.00,1014.50,1009.00,0

08 Apr,34.2,25.9,25.70,23.60,0.00,8.9,4.9,969.00,1013.60,1008.20,0

10 Apr,34.0,25.9,27.00,24.20,1.80,6.7,4.0,870.00,1013.10,1008.90,0

10 Apr,34.0,25.7,27.00,24.20,1.80,6.7,4.0,870.00,1013.10,1008.70,0

13 Apr,34.0,25.8,26.10,23.40,0.00,7.6,3.6,993.00,1013.80,1009.00,0

14 Apr,33.0,26.2,27.10,23.60,0.00,7.2,4.5,1030.00,1014.30,1009.80,0

15 Apr,35.0,25.2,26.30,23.50,0.00,6.7,3.6,986.00,1013.50,1007.90,0

16 Apr,35.1,26.9,26.90,22.00,0.00,6.3,3.1,1021.00,1013.90,1008.20,0

16 Apr,35.1,26.4,26.90,22.00,0.00,8.0,4.0,1056.00,1014.10,1008.20,0

18 Apr,33.2,26.6,27.10,23.90,6.00,7.2,3.6,900.00,1013.30,1008.50,0

19 Apr,35.7,26.1,26.90,23.00,2.40,7.6,4.5,1055.00,1012.60,1007.00,0

20 Apr,32.0,26.1,27.80,24.20,3.40,7.6,4.0,867.00,1011.90,1007.60,0

21 Apr,33.9,25.9,27.10,25.20,0.00,6.3,3.1,1018.00,1011.10,1005.70,0

22 Apr,33.5,26.8,27.40,24.30,0.00,7.6,3.1,983.00,1010.00,1006.80,0

23 Apr,33.8,25.3,27.00,24.20,15.80,7.2,4.0,909.00,1012.00,1007.70,0

24 Apr,32.5,25.6,27.20,25.00,0.20,4.0,2.2,828.00,1013.00,1007.90,0

25 Apr,33.4,25.4,28.10,24.00,34.80,7.2,3.1,812.00,1011.20,1007.70,0

26 Apr,29.3,24.0,27.00,23.40,62.40,10.7,4.5,301.00,1012.40,1008.50,0

27 Apr,31.3,24.9,26.20,23.50,6.80,5.8,2.7,1136.00,1013.50,1009.10,0

28 Apr,33.9,25.2,26.60,22.70,0.00,6.3,4.0,844.00,1014.00,1008.40,0

29 Apr,34.2,26.2,27.70,23.90,0.40,6.7,4.0,1076.00,1013.10,1008.20,0

30 Apr,33.4,25.4,27.40,23.30,0.00,4.9,2.7,867.00,1013.30,1009.40,0

30 Apr,33.4,25.4,27.40,23.30,0.00,5.8,3.1,875.00,1013.30,1008.50,0 
